"anos","total","educação,artes e humanidades","ciências sociais, comércio e direito","ciências, matemática e informática","engenharia, indústrias transformadoras e construção","agricultura","saúde e protecção social","serviços"
1991,186780,19471,19721,69850,17774,35438,6995,11992,5539
1992,218317,21877,22061,85423,19961,40308,7735,14750,6202
1993,246082,24556,24057,97123,22722,45231,8654,16693,7046
1994,269982,27066,24838,109156,24600,49730,8852,18189,7551
1995,290348,28188,26074,118818,26669,54710,8385,19407,8097
1996,313415,30339,28604,125439,28571,61378,9048,21345,8691
1997,334125,32899,30959,131223,30323,66855,10027,22259,9580
1998,347473,36761,31239,131385,31632,72518,9879,24000,10059
1999,356790,39574,32025,129145,32508,76762,10770,25072,10934
2000,373745,47129,32954,129508,32632,80164,10777,28501,12080
2001,387703,51128,35016,127043,32872,83781,10634,34185,13044
2002,396601,51224,34872,126471,32572,86903,9999,40137,14423
2003,400831,47337,34256,126700,32188,89988,9259,45643,15460
2004,395063,40060,33841,124073,31223,90547,8412,51036,15871
2005,380937,32905,32716,119402,29225,87945,7776,55201,15767
2006,367312,26253,31606,115697,26976,85097,7045,58714,15924
2007,366729,21381,31086,117209,26940,86202,6939,60599,16373
2008,376917,19361,32821,120405,28602,88020,7757,62389,17562
2009,373002,18553,32170,119303,27633,86450,7082,62409,19402
2010,383627,20750,34187,121926,28367,88644,7024,62528,20201
2011,396268,22262,36789,126102,28962,89899,7240,63999,21015
2012,390273,22374,37271,122015,28597,89388,7232,61963,21057
2013,371000,19275,35846,115884,28576,85871,7043,57723,20533
2014,362200,17208,35492,114619,28278,81577,6967,57194,20522
2015,349658,15049,35375,112085,27132,76953,6810,55530,20385
2016,356399,13969,36285,113800,28650,78390,7778,55406,21705
2017,361943,13603,37558,115952,30207,78027,8047,56113,22198
2018,372753,13084,38995,120748,32019,78830,8236,57518,22990
2019,385247,12685,40346,126537,32866,81137,8422,58986,24001
2020,396909,13051,41357,131397,34431,82298,8786,60712,24600
2021,411995,13781,42069,138283,35607,84262,9055,62748,25882
2022,433217,15229,44419,145360,38221,87975,9600,66092,26035
